Freq.	I(R1)
0.00000000000000e+00	(-1.09193424095806e+02dB,0.00000000000000e+00°)
5.00000000000000e+03	(-1.32066316753568e+02dB,9.34103454653767e+01°)
1.00000000000000e+04	(-1.38073716074942e+02dB,9.24077156282331e+01°)
1.50000000000000e+04	(-1.41585966674874e+02dB,9.23767810734784e+01°)
2.00000000000000e+04	(-1.44074514747333e+02dB,9.25954693848047e+01°)
2.50000000000000e+04	(-1.46001384321450e+02dB,9.28960684777497e+01°)
3.00000000000000e+04	(-1.47567962746789e+02dB,9.32329128329591e+01°)
3.50000000000000e+04	(-1.48889411519343e+02dB,9.36133260283902e+01°)
4.00000000000000e+04	(-1.50032703673075e+02dB,9.39830586895080e+01°)
4.50000000000000e+04	(-1.51031847852750e+02dB,9.43609776928939e+01°)
5.00000000000000e+04	(-1.21120437922750e+02dB,9.74991518326692e+01°)
5.50000000000000e+04	(-1.52716835700380e+02dB,9.52867734343666e+01°)
6.00000000000000e+04	(-1.53432632121695e+02dB,9.56835299283694e+01°)
6.50000000000000e+04	(-1.54094487696180e+02dB,9.60585195630800e+01°)
7.00000000000000e+04	(-1.54695213042571e+02dB,9.63825776392159e+01°)
7.50000000000000e+04	(-1.55245603998727e+02dB,9.67035185091715e+01°)
8.00000000000000e+04	(-1.55766294843163e+02dB,9.69938124526087e+01°)
8.50000000000000e+04	(-1.56256971018581e+02dB,9.72448740563494e+01°)
9.00000000000000e+04	(-1.56712921033326e+02dB,9.75151624018862e+01°)
9.50000000000000e+04	(-1.57150675665577e+02dB,9.77755668019943e+01°)
1.00000000000000e+05	(-1.64854286875971e+02dB,9.80950203602331e+01°)
1.05000000000000e+05	(-1.57979849969179e+02dB,9.83291079961402e+01°)
1.10000000000000e+05	(-1.58335919371259e+02dB,9.85075745579258e+01°)
1.15000000000000e+05	(-1.58673554731605e+02dB,9.87774588512044e+01°)
1.20000000000000e+05	(-1.58999713774201e+02dB,9.91147273152387e+01°)
1.25000000000000e+05	(-1.59314114931731e+02dB,9.93293549784052e+01°)
1.30000000000000e+05	(-1.59597382152829e+02dB,9.95181525901076e+01°)
1.35000000000000e+05	(-1.59875390554765e+02dB,9.97885981368252e+01°)
1.40000000000000e+05	(-1.60136275973495e+02dB,9.99623046284775e+01°)
1.45000000000000e+05	(-1.60375691860967e+02dB,1.00094113065093e+02°)
1.50000000000000e+05	(-1.32469081330695e+02dB,1.17005479172083e+02°)
1.55000000000000e+05	(-1.60833461465896e+02dB,1.00710545553410e+02°)
1.60000000000000e+05	(-1.61060503235467e+02dB,1.00772580142954e+02°)
1.65000000000000e+05	(-1.61287902511636e+02dB,1.00772831964464e+02°)
1.70000000000000e+05	(-1.61496961480990e+02dB,1.00744037541033e+02°)
1.75000000000000e+05	(-1.61692246210889e+02dB,1.00707584454171e+02°)
1.80000000000000e+05	(-1.61903730463943e+02dB,1.00696091980472e+02°)
1.85000000000000e+05	(-1.62129993405032e+02dB,1.00672970545127e+02°)
1.90000000000000e+05	(-1.62336441747555e+02dB,1.00714373891511e+02°)
1.95000000000000e+05	(-1.62547425138765e+02dB,1.00615427479321e+02°)
2.00000000000000e+05	(-1.67522203685722e+02dB,-4.86617406360033e+01°)
